wav_filename,wav_filesize,transcript
conv_0.wav,705644,siren
conv_1.wav,384044,street_music
conv_2.wav,705644,drilling
conv_3.wav,705644,siren
conv_4.wav,705644,dog_bark
conv_6.wav,1152080,children_playing
conv_10.wav,705644,street_music
conv_11.wav,705644,drilling
conv_12.wav,200876,gun_shot
conv_15.wav,705644,dog_bark
conv_17.wav,2304080,engine_idling
conv_18.wav,1058480,siren
conv_19.wav,563918,gun_shot
conv_20.wav,705644,engine_idling
conv_22.wav,705644,air_conditioner
conv_24.wav,705644,air_conditioner
conv_26.wav,705644,engine_idling
conv_27.wav,384044,siren
conv_32.wav,576080,children_playing
conv_33.wav,1058480,jackhammer
conv_35.wav,796586,gun_shot
conv_36.wav,768044,siren
conv_37.wav,705644,jackhammer
conv_38.wav,705644,street_music
conv_40.wav,705644,jackhammer
conv_42.wav,1152080,engine_idling
conv_43.wav,705644,siren
conv_44.wav,705644,children_playing
conv_45.wav,705644,jackhammer
conv_46.wav,768044,engine_idling
conv_47.wav,705644,air_conditioner
conv_48.wav,34468,car_horn
conv_49.wav,1058480,drilling
conv_50.wav,768044,siren
conv_52.wav,255824,gun_shot
conv_54.wav,705644,children_playing
conv_56.wav,705644,children_playing
conv_57.wav,372248,drilling
conv_59.wav,405364,gun_shot
conv_60.wav,705644,siren
conv_61.wav,740708,car_horn
conv_63.wav,1536044,drilling
conv_65.wav,705644,street_music
conv_66.wav,2304080,jackhammer
conv_67.wav,705644,children_playing
conv_68.wav,705644,dog_bark
conv_71.wav,384044,dog_bark
conv_72.wav,1152080,street_music
conv_74.wav,705644,street_music
conv_76.wav,705644,jackhammer
conv_77.wav,705644,air_conditioner
conv_78.wav,16802,dog_bark
conv_79.wav,2304080,jackhammer
conv_80.wav,757520,gun_shot
conv_81.wav,768044,jackhammer
conv_82.wav,2304080,street_music
conv_83.wav,18736,car_horn
conv_84.wav,705644,street_music
conv_87.wav,1152080,children_playing
conv_88.wav,705644,car_horn
conv_90.wav,768044,siren
conv_91.wav,1152080,jackhammer
conv_92.wav,768044,siren
conv_93.wav,705644,street_music
conv_97.wav,705644,dog_bark
conv_99.wav,1411258,jackhammer
conv_100.wav,705644,air_conditioner
conv_101.wav,331280,drilling
conv_103.wav,768044,air_conditioner
conv_104.wav,705644,jackhammer
conv_105.wav,1152080,street_music
conv_113.wav,1152080,street_music
conv_114.wav,1058480,air_conditioner
conv_116.wav,329172,drilling
conv_117.wav,1152080,engine_idling
conv_118.wav,705644,street_music
conv_119.wav,705644,drilling
conv_120.wav,705644,street_music
conv_121.wav,705644,jackhammer
conv_123.wav,187910,drilling
conv_125.wav,705644,engine_idling
conv_128.wav,705644,jackhammer
conv_130.wav,192320,drilling
conv_131.wav,696824,car_horn
conv_132.wav,128044,street_music
conv_134.wav,1152080,children_playing
conv_135.wav,1152080,engine_idling
conv_136.wav,705644,drilling
conv_137.wav,241176,jackhammer
conv_138.wav,705644,drilling
conv_139.wav,81188,dog_bark
conv_140.wav,705644,jackhammer
conv_142.wav,1152080,jackhammer
conv_146.wav,705644,drilling
conv_148.wav,271844,car_horn
conv_149.wav,1152080,siren
conv_152.wav,2304080,children_playing
conv_153.wav,705644,jackhammer
conv_159.wav,768044,siren
conv_160.wav,705644,dog_bark
conv_162.wav,1152080,siren
conv_163.wav,202692,dog_bark
conv_164.wav,705644,dog_bark
conv_165.wav,1058480,air_conditioner
conv_167.wav,1058480,dog_bark
conv_168.wav,289602,drilling
conv_170.wav,705644,dog_bark
conv_171.wav,768044,engine_idling
conv_172.wav,705644,children_playing
conv_174.wav,518604,children_playing
conv_175.wav,234656,gun_shot
conv_176.wav,705644,car_horn
conv_178.wav,705644,jackhammer
conv_179.wav,139400,drilling
conv_182.wav,1152080,siren
conv_184.wav,2304080,jackhammer
conv_185.wav,705644,street_music
conv_186.wav,1152080,engine_idling
conv_187.wav,705644,drilling
conv_188.wav,705644,engine_idling
conv_189.wav,768044,children_playing
conv_192.wav,705644,air_conditioner
conv_193.wav,705644,air_conditioner
conv_196.wav,489680,dog_bark
conv_197.wav,705644,children_playing
conv_200.wav,768044,jackhammer
conv_202.wav,225836,gun_shot
conv_208.wav,705644,drilling
conv_211.wav,705644,siren
conv_212.wav,1152080,engine_idling
conv_213.wav,768044,siren
conv_214.wav,705644,street_music
conv_215.wav,61122,dog_bark
conv_216.wav,705644,drilling
conv_217.wav,1152080,dog_bark
conv_218.wav,105872,dog_bark
conv_219.wav,705644,drilling
conv_221.wav,768044,dog_bark
conv_222.wav,705644,jackhammer
conv_223.wav,1058480,children_playing
conv_224.wav,768044,dog_bark
conv_226.wav,705644,air_conditioner
conv_227.wav,705644,engine_idling
conv_228.wav,705644,engine_idling
conv_229.wav,1152080,children_playing
conv_230.wav,384044,street_music
conv_232.wav,705644,jackhammer
conv_233.wav,705644,children_playing
conv_235.wav,1536058,engine_idling
conv_236.wav,167120,dog_bark
conv_239.wav,705644,drilling
conv_242.wav,529280,engine_idling
conv_245.wav,705644,dog_bark
conv_246.wav,768044,siren
conv_247.wav,768044,street_music
conv_248.wav,768044,siren
conv_249.wav,705644,siren
conv_250.wav,705644,children_playing
conv_251.wav,1058480,jackhammer
conv_252.wav,705644,dog_bark
conv_253.wav,705644,siren
conv_255.wav,705644,children_playing
conv_258.wav,1411258,jackhammer
conv_260.wav,705644,children_playing
conv_261.wav,591348,gun_shot
conv_263.wav,768044,jackhammer
conv_264.wav,352844,air_conditioner
conv_268.wav,921680,jackhammer
conv_269.wav,705644,jackhammer
conv_270.wav,768044,drilling
conv_271.wav,705644,drilling
conv_272.wav,220296,drilling
conv_275.wav,705644,jackhammer
conv_276.wav,705644,dog_bark
conv_277.wav,705644,children_playing
conv_278.wav,705644,jackhammer
conv_280.wav,705644,street_music
conv_282.wav,384044,street_music
conv_285.wav,235432,jackhammer
conv_286.wav,705644,siren
conv_288.wav,1152080,engine_idling
conv_295.wav,619718,gun_shot
conv_299.wav,705644,children_playing
conv_300.wav,8864,car_horn
conv_301.wav,2304080,children_playing
conv_303.wav,705644,drilling
conv_304.wav,705644,dog_bark
conv_305.wav,1152080,children_playing
conv_306.wav,705644,children_playing
conv_307.wav,705644,drilling
conv_308.wav,705644,street_music
conv_309.wav,768044,siren
conv_310.wav,1152080,street_music
conv_311.wav,383120,gun_shot
conv_312.wav,705644,air_conditioner
conv_313.wav,165872,dog_bark
conv_314.wav,768044,street_music
conv_315.wav,768044,jackhammer
conv_316.wav,174552,jackhammer
conv_317.wav,705644,street_music
conv_318.wav,705644,car_horn
conv_319.wav,705644,street_music
conv_322.wav,705644,siren
conv_323.wav,705644,jackhammer
conv_324.wav,1152080,air_conditioner
conv_326.wav,1058480,jackhammer
conv_327.wav,167624,dog_bark
conv_328.wav,705644,air_conditioner
conv_329.wav,705644,car_horn
conv_330.wav,705644,street_music
conv_331.wav,705644,dog_bark
conv_332.wav,1058480,children_playing
conv_333.wav,1152080,drilling
conv_334.wav,1152080,jackhammer
conv_335.wav,1152080,air_conditioner
conv_336.wav,705644,drilling
conv_337.wav,2304080,dog_bark
conv_338.wav,1536044,dog_bark
conv_339.wav,705644,street_music
conv_342.wav,705644,children_playing
conv_343.wav,1152080,siren
conv_346.wav,705644,car_horn
conv_347.wav,705644,siren
conv_348.wav,705644,children_playing
conv_349.wav,204524,car_horn
conv_350.wav,352844,air_conditioner
conv_351.wav,184468,drilling
conv_352.wav,705644,engine_idling
conv_353.wav,248724,engine_idling
conv_354.wav,705644,street_music
conv_355.wav,397888,drilling
conv_356.wav,1536058,dog_bark
conv_357.wav,768044,drilling
conv_358.wav,1152080,siren
conv_359.wav,705644,air_conditioner
conv_360.wav,705644,children_playing
conv_361.wav,1152080,children_playing
conv_363.wav,705644,jackhammer
conv_364.wav,60020,dog_bark
conv_365.wav,558386,car_horn
conv_366.wav,1152080,engine_idling
conv_367.wav,234656,gun_shot
conv_368.wav,1152080,engine_idling
conv_369.wav,705644,jackhammer
conv_370.wav,312272,dog_bark
conv_371.wav,705644,siren
conv_372.wav,768044,children_playing
conv_374.wav,549808,dog_bark
conv_376.wav,195848,drilling
conv_377.wav,705644,car_horn
conv_378.wav,1058480,jackhammer
conv_380.wav,705644,drilling
conv_381.wav,705644,jackhammer
conv_382.wav,768044,engine_idling
conv_383.wav,527120,gun_shot
conv_385.wav,705644,siren
conv_386.wav,768044,engine_idling
conv_388.wav,768044,siren
conv_391.wav,705644,siren
conv_392.wav,384044,street_music
conv_394.wav,768044,street_music
conv_395.wav,1152080,street_music
conv_396.wav,768044,siren
conv_397.wav,768044,siren
conv_400.wav,1058480,air_conditioner
conv_401.wav,705644,children_playing
conv_402.wav,705644,jackhammer
conv_406.wav,768044,air_conditioner
conv_407.wav,1152080,air_conditioner
conv_408.wav,347520,engine_idling
conv_410.wav,1152080,air_conditioner
conv_411.wav,1152080,children_playing
conv_412.wav,705644,engine_idling
conv_413.wav,705644,dog_bark
conv_414.wav,705644,jackhammer
conv_417.wav,768044,jackhammer
conv_418.wav,216484,gun_shot
conv_419.wav,705644,car_horn
conv_423.wav,705644,children_playing
conv_425.wav,1058480,air_conditioner
conv_426.wav,1058480,dog_bark
conv_427.wav,352844,siren
conv_428.wav,705644,drilling
conv_429.wav,705644,air_conditioner
conv_430.wav,705644,siren
conv_435.wav,128044,street_music
conv_436.wav,705644,air_conditioner
conv_437.wav,705644,engine_idling
conv_438.wav,576080,children_playing
conv_440.wav,705644,children_playing
conv_442.wav,705644,dog_bark
conv_444.wav,705644,car_horn
conv_445.wav,2304080,jackhammer
conv_446.wav,768044,siren
conv_447.wav,2304080,engine_idling
conv_449.wav,705644,dog_bark
conv_450.wav,705644,street_music
conv_452.wav,1411258,jackhammer
conv_453.wav,2304080,dog_bark
conv_454.wav,1152080,street_music
conv_455.wav,768044,siren
conv_456.wav,254060,drilling
conv_457.wav,264644,children_playing
conv_459.wav,705644,engine_idling
conv_461.wav,705644,drilling
conv_462.wav,1058480,air_conditioner
conv_464.wav,705644,street_music
conv_467.wav,768044,siren
conv_468.wav,705644,siren
conv_470.wav,88244,drilling
conv_471.wav,705644,air_conditioner
conv_472.wav,200624,gun_shot
conv_473.wav,2304080,children_playing
conv_474.wav,622160,gun_shot
conv_475.wav,2304080,dog_bark
conv_477.wav,944720,jackhammer
conv_479.wav,705644,street_music
conv_480.wav,1058480,air_conditioner
conv_482.wav,705644,dog_bark
conv_484.wav,1058480,children_playing
conv_485.wav,768044,children_playing
conv_486.wav,1152080,engine_idling
conv_488.wav,384044,car_horn
conv_489.wav,768044,children_playing
conv_491.wav,705644,jackhammer
conv_493.wav,128044,car_horn
conv_495.wav,705644,street_music
conv_497.wav,705644,drilling
conv_498.wav,705644,street_music
conv_500.wav,539426,jackhammer
conv_501.wav,1411258,jackhammer
conv_506.wav,705644,drilling
conv_507.wav,181172,dog_bark
conv_509.wav,768044,children_playing
conv_511.wav,705644,children_playing
conv_512.wav,576080,engine_idling
conv_513.wav,1052996,jackhammer
conv_515.wav,768044,street_music
conv_516.wav,705644,dog_bark
conv_519.wav,1152080,engine_idling
conv_520.wav,384044,siren
conv_522.wav,705644,children_playing
conv_523.wav,354204,gun_shot
conv_524.wav,1152080,siren
conv_525.wav,2304080,children_playing
conv_527.wav,705644,street_music
conv_528.wav,993680,dog_bark
conv_532.wav,705644,siren
conv_533.wav,705644,drilling
conv_534.wav,705644,air_conditioner
conv_537.wav,683252,jackhammer
conv_538.wav,1152080,street_music
conv_540.wav,705644,dog_bark
conv_542.wav,1152080,air_conditioner
conv_543.wav,1152080,engine_idling
conv_544.wav,1152080,engine_idling
conv_547.wav,705644,street_music
conv_549.wav,705644,street_music
conv_551.wav,705644,car_horn
conv_554.wav,705644,drilling
conv_555.wav,576080,engine_idling
conv_556.wav,1411258,jackhammer
conv_557.wav,1058480,air_conditioner
conv_559.wav,705644,engine_idling
conv_560.wav,705644,children_playing
conv_561.wav,768044,air_conditioner
conv_562.wav,705644,siren
conv_564.wav,705644,dog_bark
conv_565.wav,705644,children_playing
conv_566.wav,705644,children_playing
conv_567.wav,384044,air_conditioner
conv_568.wav,705644,drilling
conv_569.wav,705644,jackhammer
conv_570.wav,223190,drilling
conv_571.wav,192320,car_horn
conv_572.wav,705644,children_playing
conv_573.wav,121284,drilling
conv_575.wav,705644,siren
conv_576.wav,705644,street_music
conv_578.wav,1152080,drilling
conv_579.wav,705644,siren
conv_580.wav,705644,street_music
conv_583.wav,768044,dog_bark
conv_584.wav,705644,gun_shot
conv_585.wav,1152080,siren
conv_586.wav,705644,engine_idling
conv_587.wav,705644,engine_idling
conv_589.wav,768044,dog_bark
conv_590.wav,1536044,street_music
conv_593.wav,705644,children_playing
conv_594.wav,1058480,street_music
conv_597.wav,705644,jackhammer
conv_598.wav,705644,siren
conv_599.wav,412844,jackhammer
conv_600.wav,705644,street_music
conv_603.wav,705644,street_music
conv_604.wav,1152080,dog_bark
conv_605.wav,328148,gun_shot
conv_606.wav,705644,children_playing
conv_607.wav,748880,children_playing
conv_610.wav,705644,children_playing
conv_611.wav,344060,drilling
conv_612.wav,2304080,drilling
conv_613.wav,705644,siren
conv_614.wav,2304080,jackhammer
conv_615.wav,1152080,children_playing
conv_619.wav,705644,street_music
conv_620.wav,1152080,children_playing
conv_621.wav,1152080,street_music
conv_622.wav,2304080,dog_bark
conv_623.wav,1152080,engine_idling
conv_624.wav,705644,dog_bark
conv_629.wav,768044,siren
conv_630.wav,1152080,dog_bark
conv_631.wav,1152080,engine_idling
conv_633.wav,1152080,engine_idling
conv_635.wav,768044,drilling
conv_636.wav,384044,children_playing
conv_639.wav,2304080,drilling
conv_642.wav,1152080,street_music
conv_643.wav,705644,siren
conv_645.wav,705644,car_horn
conv_646.wav,705644,street_music
conv_648.wav,705644,street_music
conv_651.wav,705644,siren
conv_652.wav,705644,car_horn
conv_654.wav,768044,siren
conv_655.wav,2304080,jackhammer
conv_656.wav,1152080,children_playing
conv_657.wav,705644,air_conditioner
conv_658.wav,436828,dog_bark
conv_659.wav,705644,air_conditioner
conv_660.wav,705644,drilling
conv_661.wav,705644,engine_idling
conv_662.wav,1058480,children_playing
conv_663.wav,1152080,siren
conv_664.wav,1411258,jackhammer
conv_665.wav,705644,air_conditioner
conv_666.wav,705644,engine_idling
conv_669.wav,705644,siren
conv_670.wav,128044,street_music
conv_671.wav,705644,dog_bark
conv_673.wav,352844,dog_bark
conv_676.wav,705644,jackhammer
conv_677.wav,768044,drilling
conv_679.wav,705644,engine_idling
conv_683.wav,768044,siren
conv_684.wav,705644,drilling
conv_685.wav,705644,engine_idling
conv_686.wav,768044,siren
conv_687.wav,705644,siren
conv_688.wav,2304080,drilling
conv_689.wav,705644,air_conditioner
conv_690.wav,705644,street_music
conv_691.wav,1152080,engine_idling
conv_692.wav,1152080,children_playing
conv_693.wav,705644,air_conditioner
conv_694.wav,768044,engine_idling
conv_695.wav,705644,street_music
conv_697.wav,1058480,air_conditioner
conv_698.wav,705644,children_playing
conv_699.wav,1152080,street_music
conv_702.wav,1411258,jackhammer
conv_703.wav,705644,street_music
conv_704.wav,1058480,street_music
conv_705.wav,1058480,drilling
conv_709.wav,306980,drilling
conv_710.wav,705644,street_music
conv_712.wav,705644,children_playing
conv_713.wav,352844,drilling
conv_714.wav,705644,engine_idling
conv_716.wav,195716,drilling
conv_717.wav,705644,children_playing
conv_719.wav,2304080,jackhammer
conv_720.wav,2304080,jackhammer
conv_721.wav,26924,dog_bark
conv_722.wav,768044,children_playing
conv_724.wav,676880,gun_shot
conv_726.wav,705644,children_playing
conv_727.wav,1152080,street_music
conv_728.wav,1411258,siren
conv_729.wav,705644,street_music
conv_730.wav,705644,jackhammer
conv_732.wav,277900,gun_shot
conv_733.wav,705644,dog_bark
conv_734.wav,705644,drilling
conv_735.wav,1058480,jackhammer
conv_737.wav,705644,siren
conv_738.wav,1152080,engine_idling
conv_739.wav,705644,dog_bark
conv_740.wav,705644,jackhammer
conv_742.wav,768044,siren
conv_744.wav,705644,street_music
conv_746.wav,1152080,air_conditioner
conv_748.wav,705644,street_music
conv_749.wav,2304080,engine_idling
conv_750.wav,1152080,jackhammer
conv_751.wav,1152080,jackhammer
conv_752.wav,89360,car_horn
conv_753.wav,1058480,street_music
conv_754.wav,1152080,drilling
conv_755.wav,705644,jackhammer
conv_757.wav,384044,siren
conv_758.wav,705644,street_music
conv_760.wav,705644,children_playing
conv_761.wav,768044,siren
conv_764.wav,705644,dog_bark
conv_765.wav,705644,air_conditioner
conv_766.wav,1411258,jackhammer
conv_770.wav,1152080,air_conditioner
conv_771.wav,128044,street_music
conv_772.wav,705644,dog_bark
conv_773.wav,705644,air_conditioner
conv_776.wav,1152080,air_conditioner
conv_778.wav,705644,dog_bark
conv_780.wav,705644,air_conditioner
conv_783.wav,705644,dog_bark
conv_784.wav,705644,children_playing
conv_785.wav,410924,dog_bark
conv_787.wav,705644,jackhammer
conv_790.wav,705644,gun_shot
conv_791.wav,705644,street_music
conv_792.wav,128044,street_music
conv_794.wav,221808,drilling
conv_796.wav,1536058,dog_bark
conv_798.wav,2304080,street_music
conv_799.wav,1152080,children_playing
conv_801.wav,576080,drilling
conv_802.wav,705644,air_conditioner
conv_803.wav,384044,drilling
conv_804.wav,101732,dog_bark
conv_807.wav,580772,gun_shot
conv_809.wav,582200,car_horn
conv_810.wav,343892,gun_shot
conv_811.wav,1152080,air_conditioner
conv_812.wav,384044,dog_bark
conv_813.wav,705644,street_music
conv_816.wav,705644,air_conditioner
conv_817.wav,141808,drilling
conv_819.wav,705644,air_conditioner
conv_820.wav,1152080,engine_idling
conv_821.wav,768044,children_playing
conv_824.wav,705644,car_horn
conv_825.wav,1152080,jackhammer
conv_826.wav,1536058,engine_idling
conv_829.wav,705644,air_conditioner
conv_830.wav,705644,street_music
conv_832.wav,705644,engine_idling
conv_833.wav,384044,children_playing
conv_834.wav,768044,engine_idling
conv_835.wav,705644,siren
conv_838.wav,1152080,engine_idling
conv_839.wav,705644,drilling
conv_840.wav,705644,drilling
conv_841.wav,88244,dog_bark
conv_843.wav,44144,siren
conv_844.wav,230308,drilling
conv_845.wav,352844,engine_idling
conv_848.wav,705644,car_horn
conv_849.wav,384044,street_music
conv_850.wav,768044,siren
conv_851.wav,705644,drilling
conv_853.wav,1152080,children_playing
conv_854.wav,697040,gun_shot
conv_855.wav,705644,air_conditioner
conv_857.wav,384044,dog_bark
conv_858.wav,1058480,engine_idling
conv_859.wav,1152080,street_music
conv_860.wav,768044,engine_idling
conv_863.wav,705644,jackhammer
conv_864.wav,705644,car_horn
conv_865.wav,2304080,engine_idling
conv_867.wav,1058480,air_conditioner
conv_868.wav,768044,siren
conv_869.wav,1152080,engine_idling
conv_870.wav,1152080,air_conditioner
conv_871.wav,705644,street_music
conv_872.wav,768044,engine_idling
conv_874.wav,705644,children_playing
conv_875.wav,705644,jackhammer
conv_876.wav,576080,engine_idling
conv_878.wav,705644,dog_bark
conv_881.wav,768044,children_playing
conv_882.wav,705644,car_horn
conv_883.wav,1152080,engine_idling
conv_884.wav,101584,car_horn
conv_885.wav,705644,jackhammer
conv_886.wav,107648,dog_bark
conv_887.wav,257000,drilling
conv_889.wav,204668,gun_shot
conv_891.wav,425168,children_playing
